title,core_count,performance_core_clock,performance_core_boost_clock,microarchitecture,tdp,integrated_graphics,rating,price
AMD Ryzen 7 9800X3D,8,4.7,5.2,Zen 5,120,Radeon,4.5,499.0
AMD Ryzen 7 7800X3D,8,4.2,5,Zen 4,120,Radeon,4.5,391.12
AMD Ryzen 5 7600X,6,4.7,5.3,Zen 4,105,Radeon,4.5,206.3
AMD Ryzen 5 5600X,6,3.7,4.6,Zen 3,65,,4.5,149.0
AMD Ryzen 7 9700X,8,3.8,5.5,Zen 5,65,Radeon,4.5,303.58
AMD Ryzen 5 9600X,6,3.9,5.4,Zen 5,65,Radeon,4.5,208.0
AMD Ryzen 9 9950X3D,16,4.3,5.7,Zen 5,170,Radeon,4.5,899.99
AMD Ryzen 7 7700X,8,4.5,5.4,Zen 4,105,Radeon,4.5,268.6
AMD Ryzen 5 5500,6,3.6,4.2,Zen 3,65,,4.5,73.0
AMD Ryzen 5 7600,6,3.8,5.1,Zen 4,65,Radeon,4.5,198.85
AMD Ryzen 5 5600,6,3.5,4.4,Zen 3,65,,4.5,126.5
AMD Ryzen 7 5800X,8,3.8,4.7,Zen 3,105,,4.5,158.22
Intel Core i5-12400F,6,2.5,4.4,Alder Lake,65,,4.5,100.0
Intel Core i9-14900K,24,3.2,6,Raptor Lake Refresh,125,Intel UHD Graphics 770,4.5,388.0
Intel Core i7-14700K,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770,4.5,320.99
AMD Ryzen 5 3600,6,3.6,4.2,Zen 2,65,,4.5,84.0
AMD Ryzen 7 5700X,8,3.4,4.6,Zen 3,65,,4.5,128.0
AMD Ryzen 9 7900X,12,4.7,5.6,Zen 4,170,Radeon,4.5,335.27
AMD Ryzen 9 9900X,12,4.4,5.6,Zen 5,120,Radeon,4.5,360.0
AMD Ryzen 7 7700,8,3.6,5.3,Zen 4,65,Radeon,4.5,279.97
AMD Ryzen 7 5700X3D,8,3,4.1,Zen 3,105,,4.5,269.95
AMD Ryzen 5 7500F,6,3.7,5,Zen 4,65,,4.5,
Intel Core i7-12700K,12,3.6,5,Alder Lake,125,Intel UHD Graphics 770,4.5,219.99
Intel Core i5-14400F,10,2.5,4.7,Raptor Lake Refresh,65,,,117.0
AMD Ryzen 9 9950X,16,4.3,5.7,Zen 5,170,Radeon,4.5,521.6
Intel Core i7-12700KF,12,3.6,5,Alder Lake,125,,4.5,154.0
AMD Ryzen 5 8500G,6,4.1,5,Zen 4,65,Radeon 740M,5.0,142.99
Intel Core i5-14600K,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770,4.5,194.99
AMD Ryzen 9 5900X,12,3.7,4.8,Zen 3,105,,4.5,239.99
Intel Core Ultra 9 285K,24,3.7,5.7,Arrow Lake,125,Intel Xe,4.5,579.0
AMD Ryzen 5 4500,6,3.6,4.1,Zen 2,65,,4.5,64.98
Intel Core i5-12600KF,10,3.7,4.9,Alder Lake,125,,4.5,154.0
AMD Ryzen 7 3700X,8,3.6,4.4,Zen 2,65,,4.5,133.9
Intel Core Ultra 7 265K,20,3.9,5.5,Arrow Lake,125,Intel Xe,4.5,324.0
AMD Threadripper 3990X,64,2.9,4.3,Zen 2,280,,5.0,4120.79
AMD Ryzen 5 7500F,6,3.7,5,Zen 4,65,,4.5,
AMD Ryzen 5 5600G,6,3.9,4.4,Zen 3,65,Radeon Vega 7,4.5,169.99
Intel Core i7-14700KF,20,3.4,5.6,Raptor Lake Refresh,125,,4.5,285.0
Intel Core i5-13400F,10,2.5,4.6,Raptor Lake,65,,4.5,133.19
AMD Ryzen 7 5700,8,3.7,4.6,Zen 3,65,,5.0,126.8
AMD Ryzen 5 8400F,6,4.2,4.7,Zen 4,65,,,148.95
Intel Core i5-14600KF,14,3.5,5.3,Raptor Lake Refresh,125,,5.0,185.0
AMD Ryzen 7 5800XT,8,3.8,4.8,Zen 3,105,,4.5,124.99
AMD Ryzen 9 7950X,16,4.5,5.7,Zen 4,170,Radeon,4.5,449.99
Intel Core i3-12100F,4,3.3,4.3,Alder Lake,58,,4.5,68.0
AMD Ryzen 7 5800X3D,8,3.4,4.5,Zen 3,105,,4.5,784.05
Intel Core i5-12600K,10,3.7,4.9,Alder Lake,125,Intel UHD Graphics 770,4.5,180.94
AMD Ryzen 7 5700G,8,3.8,4.6,Zen 3,65,Radeon Vega 8,4.5,139.99
AMD Ryzen 9 9900X3D,12,4.4,5.5,Zen 5,120,Radeon,,689.34
AMD Ryzen 5 8600G,6,4.3,5,Zen 4,65,Radeon 760M,4.5,181.26
Intel Core i9-12900K,16,3.2,5.2,Alder Lake,125,Intel UHD Graphics 770,4.5,309.0
AMD Ryzen 9 5950X,16,3.4,4.9,Zen 3,105,,4.5,323.0
AMD Ryzen 9 7950X3D,16,4.2,5.7,Zen 4,120,Radeon,4.5,699.99
Intel Core i9-14900KF,24,3.2,6,Raptor Lake Refresh,125,,4.5,439.99
Intel Core i7-13700K,16,3.4,5.4,Raptor Lake,125,Intel UHD Graphics 770,4.5,288.0
Intel Core i5-13600KF,14,3.5,5.1,Raptor Lake,125,,4.5,189.99
AMD Ryzen 7 8700G,8,4.2,5.1,Zen 4,65,Radeon 780M,5.0,303.0
AMD Ryzen 5 5600GT,6,3.6,4.6,Zen 3,65,Radeon Vega 7,4.5,149.99
Intel Core i9-14900KS,24,3.2,6.2,Raptor Lake Refresh,150,Intel UHD Graphics 770,,669.97
Intel Core i9-13900K,24,3,5.8,Raptor Lake,125,Intel UHD Graphics 770,4.5,396.98
AMD Ryzen 5 2600,6,3.4,3.9,Zen+,65,,4.5,203.47
AMD Ryzen 7 8700F,8,4.1,5,Zen 4,65,,5.0,259.95
Intel Core i7-14700F,20,2.1,5.4,Raptor Lake Refresh,65,,5.0,305.51
Intel Core i7-9700K,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630,4.5,233.22
AMD Ryzen 5 7600X3D,6,4.1,4.7,Zen 4,65,Radeon,5.0,
AMD Ryzen 9 7900,12,3.6,5.4,Zen 4,65,Radeon,4.5,361.71
AMD Ryzen 3 3200G,4,3.6,4,Zen+,65,Radeon Vega 8,4.5,75.0
Intel Core i5-10400F,6,2.9,4.3,Comet Lake,65,,4.5,115.99
Intel Core i5-13600K,14,3.5,5.1,Raptor Lake,125,Intel UHD Graphics 770,4.5,230.0
Intel Core i7-8700K,6,3.7,4.7,Coffee Lake,95,Intel UHD Graphics 630,4.5,170.0
Intel Core i9-12900KF,16,3.2,5.2,Alder Lake,125,,4.5,269.94
Intel Core i5-12400,6,2.5,4.4,Alder Lake,65,Intel UHD Graphics 730,4.5,143.55
AMD Ryzen 5 3600X,6,3.8,4.4,Zen 2,95,,4.5,176.99
Intel Pentium E2220,2,2.4,,Core,65,,,12.99
Intel Core i9-9900K,8,3.6,5,Coffee Lake Refresh,95,Intel UHD Graphics 630,4.5,360.0
AMD Ryzen 7 2700X,8,3.7,4.3,Zen+,105,,4.5,185.0
AMD Ryzen 5 3400G,4,3.7,4.2,Zen+,65,Radeon Vega 11,4.5,102.0
AMD Ryzen 9 3900X,12,3.8,4.6,Zen 2,105,,4.5,345.0
Intel Core Ultra 5 245K,14,4.2,5.2,Arrow Lake,125,Intel Xe,,269.99
Intel Core i3-14100F,4,3.5,4.7,Raptor Lake Refresh,58,,,90.07
Intel Core i7-7700K,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630,4.5,151.69
Intel Core i7-10700K,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,4.5,304.99
Intel Core i7-13700KF,16,3.4,5.4,Raptor Lake,125,,4.5,299.0
Intel Core i7-6700K,4,4,4.2,Skylake,91,Intel HD Graphics 530,4.5,137.66
Intel Core i5-13400,10,2.5,4.6,Raptor Lake,65,Intel UHD Graphics 730,4.5,160.97
AMD Ryzen 7 3800X,8,3.9,4.5,Zen 2,105,,4.5,265.0
AMD Ryzen 9 7900X3D,12,4.4,5.6,Zen 4,120,Radeon,4.5,
Intel Core Ultra 7 265KF,20,3.9,5.5,Arrow Lake,125,,,318.56
AMD Ryzen 3 4100,4,3.8,4,Zen 2,65,,3.5,68.0
Intel Core i5-14400,10,2.5,4.7,Raptor Lake Refresh,65,Intel UHD Graphics 730,5.0,176.99
Intel Core i5-9400F,6,2.9,4.1,Coffee Lake Refresh,65,,4.0,105.0
Intel Core i3-13100F,4,3.4,4.5,Raptor Lake,58,,4.5,85.19
AMD Ryzen 9 5900XT,16,3.3,4.8,Zen 3,105,,5.0,283.33
Intel Core i9-13900KF,24,3,5.8,Raptor Lake,125,,4.5,369.0
Intel Core i3-12100,4,3.3,4.3,Alder Lake,60,Intel UHD Graphics 730,4.5,113.58
AMD Threadripper 3970X,32,3.7,4.5,Zen 2,280,,5.0,1800.0
Intel Core i5-11400F,6,2.6,4.4,Rocket Lake,65,,4.5,204.27
Intel Core i5-9600K,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,4.5,130.0
AMD Ryzen 5 2600X,6,3.6,4.2,Zen+,95,,4.5,
