title,rating,price,cpu_socket,form_factor,max_memory,memory_slots,color,max_memory_gb
MSI B650 GAMING PLUS WIFI,4.5,169.99,AM5,ATX,192 GB,4,Black,192.0
Asus PRIME B650-PLUS WIFI,5.0,149.99,AM5,ATX,192 GB,4,Black / Silver,192.0
MSI MAG B650 TOMAHAWK WIFI,4.5,199.62,AM5,ATX,256 GB,4,Black,256.0
Asus PRIME B550M-A WIFI II,4.0,119.99,AM4,Micro ATX,128 GB,4,Blue / Silver,128.0
Gigabyte X870E AORUS ELITE WIFI7,4.0,315.08,AM5,ATX,256 GB,4,Black,256.0
Gigabyte B650 EAGLE AX,4.5,164.99,AM5,ATX,192 GB,4,Gray / Black,192.0
MSI MAG X870 TOMAHAWK WIFI,4.5,299.99,AM5,ATX,256 GB,4,Black,256.0
Gigabyte A520M K V2,3.5,79.0,AM4,Micro ATX,64 GB,2,Brown / Black,64.0
Gigabyte X870 EAGLE WIFI7,5.0,229.99,AM5,ATX,256 GB,4,Black,256.0
MSI B760 GAMING PLUS WIFI,4.5,173.32,LGA1700,ATX,192 GB,4,Black / Silver,192.0
MSI B550M PRO-VDH WIFI,4.5,103.99,AM4,Micro ATX,128 GB,4,Black,128.0
Gigabyte X870 AORUS ELITE WIFI7 ICE,4.5,289.99,AM5,ATX,256 GB,4,White,256.0
MSI PRO Z790-A MAX WIFI,4.5,253.45,LGA1700,ATX,192 GB,4,Silver / Black,192.0
MSI PRO B650-S WIFI,4.5,149.58,AM5,ATX,192 GB,4,Black,192.0
MSI B450M-A PRO MAX II,3.5,78.77,AM4,Micro ATX,64 GB,2,Black,64.0
Asus ROG STRIX X870E-E GAMING WIFI,5.0,468.13,AM5,ATX,192 GB,4,Black,192.0
MSI B550 GAMING GEN3,4.0,152.72,AM4,ATX,128 GB,4,Black,128.0
Asus TUF GAMING B650-PLUS WIFI,4.0,179.99,AM5,ATX,128 GB,4,Black,128.0
MSI MAG B550 TOMAHAWK MAX WIFI,4.5,185.99,AM4,ATX,128 GB,4,Silver / Black,128.0
Gigabyte B850 EAGLE WIFI6E,5.0,178.99,AM5,ATX,256 GB,4,Gray / Black,256.0
MSI PRO B650M-P,4.5,148.97,AM5,Micro ATX,192 GB,4,Black / Silver,192.0
Gigabyte B650M GAMING PLUS WIFI,4.5,139.99,AM5,Micro ATX,192 GB,4,Silver / Black,192.0
Gigabyte B650 GAMING X AX V2,4.0,148.87,AM5,ATX,192 GB,4,Gray / Black,192.0
ASRock B650M Pro RS WiFi,4.5,139.99,AM5,Micro ATX,256 GB,4,Black / Silver,256.0
Gigabyte B550M K,3.5,89.99,AM4,Micro ATX,128 GB,4,Brown / Silver,128.0
ASRock B450M-HDV R4.0,3.5,69.98,AM4,Micro ATX,64 GB,2,Black / White,64.0
Asus ROG STRIX B550-F GAMING WIFI II,4.5,179.99,AM4,ATX,128 GB,4,Black / Red,128.0
Asus TUF GAMING B850-PLUS WIFI,4.5,229.99,AM5,ATX,192 GB,4,Black / Silver,192.0
Asus ROG STRIX X870-A GAMING WIFI,5.0,289.99,AM5,ATX,192 GB,4,White,192.0
Gigabyte B850 AORUS ELITE WIFI7 ICE,4.5,228.99,AM5,ATX,256 GB,4,White / Silver,256.0
MSI PRO H610M-G DDR4,4.5,89.99,LGA1700,Micro ATX,64 GB,2,Black / Silver,64.0
Gigabyte B760M GAMING PLUS WIFI DDR4,3.5,139.99,LGA1700,Micro ATX,128 GB,4,Black / Silver,128.0
ASRock A620I LIGHTNING WIFI,4.5,159.99,AM5,Mini ITX,96 GB,2,Black,96.0
MSI PRO B550M-VC WIFI,4.5,145.99,AM4,Micro ATX,128 GB,4,Black,128.0
ASRock B650M PG Lightning Wifi,4.5,119.99,AM5,Micro ATX,256 GB,4,Silver / Black,256.0
MSI B550-A PRO,4.5,125.99,AM4,ATX,128 GB,4,Black / Silver,128.0
MSI MAG B850 TOMAHAWK MAX WIFI,5.0,230.84,AM5,ATX,256 GB,4,Black / Green,256.0
MSI PRO A620M-E,3.0,89.99,AM5,Micro ATX,96 GB,2,Black,96.0
Asus ROG STRIX B650E-F GAMING WIFI,4.5,209.99,AM5,ATX,192 GB,4,Black,192.0
Asus ROG CROSSHAIR X870E HERO,3.5,678.99,AM5,ATX,192 GB,4,Black,192.0
ASRock B650I Lightning Wifi,4.5,199.99,AM5,Mini ITX,96 GB,2,Black,96.0
MSI MAG X670E TOMAHAWK WIFI,4.5,234.99,AM5,ATX,192 GB,4,Black,192.0
Gigabyte B550M AORUS ELITE AX,4.5,129.99,AM4,Micro ATX,128 GB,4,Black / Silver,128.0
Gigabyte B850 AORUS ELITE WIFI7,3.0,228.99,AM5,ATX,256 GB,4,Black,256.0
Gigabyte X870E AORUS PRO ICE,4.5,354.99,AM5,ATX,256 GB,4,White,256.0
Asus ROG STRIX B650-A GAMING WIFI,4.5,203.59,AM5,ATX,192 GB,4,Black / Silver,192.0
Asus TUF GAMING B650-E WIFI,4.0,195.99,AM5,ATX,192 GB,4,Black / Orange,192.0
ASRock B650 Steel Legend WiFi,5.0,189.99,AM5,ATX,256 GB,4,White / Silver,256.0
Asus ROG STRIX B850-I GAMING WIFI,4.0,299.99,AM5,Mini ITX,96 GB,2,Black,96.0
ASRock B850M Pro-A WiFi,5.0,230.88,AM5,Micro ATX,256 GB,4,Black,256.0
