title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,cache_gb,capacity_gb
Samsung 990 Pro,4.5,169.99,2 TB,0.085,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2.048,2000.0
Crucial P3 Plus,4.5,61.99,1 TB,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Crucial P3 Plus,4.5,121.99,2 TB,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Samsung 990 Pro,4.5,302.0,4 TB,0.075,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4,4.096,4000.0
Kingston NV3,4.5,62.99,1 TB,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Samsung 990 Pro,4.5,99.99,1 TB,0.1,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1.024,1000.0
Western Digital WD_Black SN850X,4.5,147.94,2 TB,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Samsung 990 EVO Plus,5.0,139.99,2 TB,0.07,SSD,,M.2-2280,M.2 PCIe 5.0 X2,,2000.0
Kingston NV2,4.5,69.64,1 TB,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital Black SN770,4.5,70.86,1 TB,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Seagate Barracuda Compute,4.5,69.98,2 TB,0.035,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,2000.0
Crucial P3 Plus,4.5,39.78,500 GB,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Western Digital Black SN770,4.5,124.99,2 TB,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Silicon Power UD90,4.5,104.97,2 TB,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Western Digital WD_Black SN850X,4.5,282.98,4 TB,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
Western Digital Blue SN580,4.5,59.99,1 TB,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Samsung 870 Evo,4.5,89.99,1 TB,0.09,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s,1.024,1000.0
Intel SSDPEDMD020T401,,3937.0,2 TB,1.968,SSD,,PCIe,PCIe x4,,2000.0
Samsung 9100 PRO,5.0,489.99,4 TB,0.122,SSD,4096 MB,M.2-2280,M.2 PCIe 5.0 X4,4.096,4000.0
Seagate IronWolf Pro,,439.99,24 TB,0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,24000.0
Western Digital WD_Black SN850X,4.5,94.99,1 TB,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Samsung 990 EVO Plus,5.0,74.98,1 TB,0.075,SSD,,M.2-2280,M.2 PCIe 5.0 X2,,1000.0
Samsung 990 EVO Plus,5.0,249.0,4 TB,0.062,SSD,,M.2-2280,M.2 PCIe 5.0 X2,,4000.0
Samsung 970 Evo Plus,4.5,101.94,1 TB,0.102,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,1.024,1000.0
Sabrent Rocket 4 Plus,4.0,975.98,8 TB,0.122,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,8000.0
Kingston NV3,4.5,117.99,2 TB,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Klevv CRAS C910,4.5,56.99,1 TB,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital WD_Black SN850X,5.0,599.95,8 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,8000.0
Samsung 980 Pro,4.5,203.0,2 TB,0.102,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2.048,2000.0
Seagate BarraCuda,4.5,84.99,4 TB,0.021,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,4000.0
Crucial P3,4.5,59.99,1 TB,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
TEAMGROUP MP44L,4.5,57.99,1 TB,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Crucial P3 Plus,4.5,219.99,4 TB,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
Western Digital Blue SN580,4.5,109.99,2 TB,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Western Digital Caviar Blue,4.5,41.0,1 TB,0.041,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,1000.0
Samsung 9100 PRO,,269.99,2 TB,0.135,SSD,2048 MB,M.2-2280,M.2 PCIe 5.0 X4,2.048,2000.0
Patriot P300,4.5,32.99,512 GB,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Samsung 870 Evo,4.5,162.0,2 TB,0.081,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s,2.048,2000.0
Samsung 870 Evo,4.5,269.99,4 TB,0.067,SSD,4096 MB,"2.5""",SATA 6.0 Gb/s,4.096,4000.0
TEAMGROUP MP33,4.5,56.99,1 TB,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Samsung 980 Pro,4.5,,1 TB,,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1.024,1000.0
Kingston Fury Renegade,4.5,144.99,2 TB,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Samsung 990 EVO,4.5,129.99,2 TB,0.065,SSD,,M.2-2280,M.2 PCIe 5.0 X2,,2000.0
TEAMGROUP MP44L,4.5,107.99,2 TB,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
SK Hynix Platinum P41,4.5,134.99,2 TB,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Seagate Barracuda Compute,4.5,109.99,8 TB,0.014,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
KingSpec XF,,53.99,1 TB,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Kingston KC3000,4.5,153.94,2.048 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2048.0
Samsung 990 EVO,5.0,69.98,1 TB,0.07,SSD,,M.2-2280,M.2 PCIe 5.0 X2,,1000.0
Samsung 870 QVO,4.5,629.99,8 TB,0.079,SSD,,"2.5""",SATA 6.0 Gb/s,,8000.0
Samsung 870 Evo,4.5,52.99,500 GB,0.106,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,0.512,500.0
Corsair MP400,5.0,,8 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,8000.0
Crucial T705,,389.99,4 TB,0.097,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,4000.0
Acer Predator GM7000,4.5,125.99,2 TB,0.063,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2.048,2000.0
Lexar NM790,5.0,129.99,2 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Samsung 970 Evo Plus,4.5,,500 GB,,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,0.512,500.0
Silicon Power A60,4.5,55.97,1 TB,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Crucial T705,5.0,229.99,2 TB,0.115,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,2000.0
Samsung 980,4.5,106.3,1 TB,0.106,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Samsung 9100 PRO,5.0,169.99,1 TB,0.17,SSD,1024 MB,M.2-2280,M.2 PCIe 5.0 X4,1.024,1000.0
TEAMGROUP MP33,4.5,36.99,512 GB,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Crucial T500,4.5,148.94,2 TB,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Samsung 970 Evo Plus,4.5,188.03,2 TB,0.094,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,1.024,2000.0
Seagate BarraCuda,4.5,59.5,1 TB,0.06,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,1000.0
Kingston A400,4.5,24.99,240 GB,0.104,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Silicon Power UD90,4.5,61.97,1 TB,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital Gold,,499.99,24 TB,0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,24000.0
Klevv CRAS C910,5.0,105.99,2 TB,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Samsung 990 Pro w/Heatsink,5.0,312.99,4 TB,0.078,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4,4.096,4000.0
Western Digital Blue,4.5,64.98,2 TB,0.032,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,2000.0
Crucial P310,,74.99,1 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Patriot P300,4.5,23.79,256 GB,0.093,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Crucial BX500,4.5,61.74,1 TB,0.062,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Lexar NM790,5.0,69.99,1 TB,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
