title,rating,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,module_count,gb_per_module,total_ram
G.Skill Ripjaws V 32 GB,4.5,52.99,DDR4-3600,2 x 16GB,1.656,Black,10 ns,18.0,2,16,32
G.Skill Aegis 16 GB,4.5,29.99,DDR4-3200,2 x 8GB,1.874,Red / Black,10 ns,16.0,2,8,16
Corsair Vengeance RGB 64 GB,4.5,239.99,DDR5-6000,2 x 32GB,3.75,White / Silver,10 ns,30.0,2,32,64
Silicon Power SP016GLLTU160N22 16 GB,4.5,15.99,DDR3-1600,2 x 8GB,0.999,Green,13.75 ns,11.0,2,8,16
G.Skill Flare X5 32 GB,,114.99,DDR5-6000,2 x 16GB,3.593,Black,9.333 ns,28.0,2,16,32
Corsair Vengeance 192 GB,,599.99,DDR5-5200,4 x 48GB,3.125,Black,14.615 ns,38.0,4,48,192
Crucial Pro 64 GB,5.0,89.99,DDR4-3200,2 x 32GB,1.406,Black / Green,13.75 ns,22.0,2,32,64
G.Skill Trident Z5 Neo 64 GB,4.5,204.99,DDR5-6000,2 x 32GB,3.203,Black / Silver,10 ns,30.0,2,32,64
ADATA XPG Lancer Blade 32 GB,5.0,109.99,DDR5-6000,2 x 16GB,3.437,Black,10 ns,30.0,2,16,32
G.Skill Trident Z5 RGB 64 GB,4.5,234.99,DDR5-6800,2 x 32GB,3.672,Black,10 ns,34.0,2,32,64
G.Skill Ripjaws S5 64 GB,4.0,144.99,DDR5-6000,2 x 32GB,2.265,Black,12 ns,36.0,2,32,64
G.Skill Ripjaws S5 96 GB,5.0,284.99,DDR5-6400,2 x 48GB,2.969,Black,10 ns,32.0,2,48,96
Timetec PINNACLE Konduit 32 GB,5.0,43.99,DDR4-3200,2 x 16GB,1.375,White,10 ns,16.0,2,16,32
Corsair Vengeance RGB Pro 16 GB,4.5,55.99,DDR4-3200,2 x 8GB,3.499,White,10 ns,16.0,2,8,16
G.Skill Trident Z5 Royal 32 GB,5.0,142.99,DDR5-6400,2 x 16GB,4.468,White,9.375 ns,30.0,2,16,32
ADATA XPG Lancer Blade RGB 32 GB,4.5,109.99,DDR5-6000,2 x 16GB,3.437,Black,10 ns,30.0,2,16,32
Corsair Vengeance RGB Pro 32 GB,4.5,83.99,DDR4-3200,2 x 16GB,2.625,White,10 ns,16.0,2,16,32
Corsair Vengeance RGB 32 GB,4.5,102.99,DDR5-5200,2 x 16GB,3.218,White,15.385 ns,40.0,2,16,32
Corsair Vengeance 32 GB,4.5,96.99,DDR5-5200,2 x 16GB,3.031,Black,15.385 ns,40.0,2,16,32
Corsair Vengeance RGB 32 GB,5.0,124.99,DDR5-6000,2 x 16GB,3.906,White / Silver,10 ns,30.0,2,16,32
