,title,rating,price,cpu_socket,form_factor,max_memory,memory_slots,color,max_memory_gb
0,MSI B650 GAMING PLUS WIFI,4.5,169.99,AM5,ATX,192 GB,4,Black,192.0
1,Asus PRIME B650-PLUS WIFI,5.0,149.99,AM5,ATX,192 GB,4,Black / Silver,192.0
2,MSI MAG B650 TOMAHAWK WIFI,4.5,199.62,AM5,ATX,256 GB,4,Black,256.0
3,Asus PRIME B550M-A WIFI II,4.0,119.99,AM4,Micro ATX,128 GB,4,Blue / Silver,128.0
4,Gigabyte X870E AORUS ELITE WIFI7,4.0,315.08,AM5,ATX,256 GB,4,Black,256.0
5,Gigabyte B650 EAGLE AX,4.5,164.99,AM5,ATX,192 GB,4,Gray / Black,192.0
6,MSI MAG X870 TOMAHAWK WIFI,4.5,299.99,AM5,ATX,256 GB,4,Black,256.0
7,Gigabyte A520M K V2,3.5,79.00,AM4,Micro ATX,64 GB,2,Brown / Black,64.0
8,Gigabyte X870 EAGLE WIFI7,5.0,229.99,AM5,ATX,256 GB,4,Black,256.0
9,MSI B760 GAMING PLUS WIFI,4.5,173.32,LGA1700,ATX,192 GB,4,Black / Silver,192.0
10,MSI B550M PRO-VDH WIFI,4.5,103.99,AM4,Micro ATX,128 GB,4,Black,128.0
11,Gigabyte X870 AORUS ELITE WIFI7 ICE,4.5,289.99,AM5,ATX,256 GB,4,White,256.0
12,MSI PRO Z790-A MAX WIFI,4.5,253.45,LGA1700,ATX,192 GB,4,Silver / Black,192.0
13,MSI PRO B650-S WIFI,4.5,149.58,AM5,ATX,192 GB,4,Black,192.0
14,MSI B450M-A PRO MAX II,3.5,78.77,AM4,Micro ATX,64 GB,2,Black,64.0
15,Asus ROG STRIX X870E-E GAMING WIFI,5.0,468.13,AM5,ATX,192 GB,4,Black,192.0
16,MSI B550 GAMING GEN3,4.0,152.72,AM4,ATX,128 GB,4,Black,128.0
17,Asus TUF GAMING B650-PLUS WIFI,4.0,179.99,AM5,ATX,128 GB,4,Black,128.0
18,MSI MAG B550 TOMAHAWK MAX WIFI,4.5,185.99,AM4,ATX,128 GB,4,Silver / Black,128.0
19,Gigabyte B850 EAGLE WIFI6E,5.0,178.99,AM5,ATX,256 GB,4,Gray / Black,256.0
20,MSI PRO B650M-P,4.5,148.97,AM5,Micro ATX,192 GB,4,Black / Silver,192.0
21,Gigabyte B650M GAMING PLUS WIFI,4.5,139.99,AM5,Micro ATX,192 GB,4,Silver / Black,192.0
22,Gigabyte B650 GAMING X AX V2,4.0,148.87,AM5,ATX,192 GB,4,Gray / Black,192.0
23,ASRock B650M Pro RS WiFi,4.5,139.99,AM5,Micro ATX,256 GB,4,Black / Silver,256.0
24,Gigabyte B550M K,3.5,89.99,AM4,Micro ATX,128 GB,4,Brown / Silver,128.0
25,ASRock B450M-HDV R4.0,3.5,69.98,AM4,Micro ATX,64 GB,2,Black / White,64.0
26,Asus ROG STRIX B550-F GAMING WIFI II,4.5,179.99,AM4,ATX,128 GB,4,Black / Red,128.0
27,Asus TUF GAMING B850-PLUS WIFI,4.5,229.99,AM5,ATX,192 GB,4,Black / Silver,192.0
28,Asus ROG STRIX X870-A GAMING WIFI,5.0,289.99,AM5,ATX,192 GB,4,White,192.0
29,Gigabyte B850 AORUS ELITE WIFI7 ICE,4.5,228.99,AM5,ATX,256 GB,4,White / Silver,256.0
30,MSI PRO H610M-G DDR4,4.5,89.99,LGA1700,Micro ATX,64 GB,2,Black / Silver,64.0
31,Gigabyte B760M GAMING PLUS WIFI DDR4,3.5,139.99,LGA1700,Micro ATX,128 GB,4,Black / Silver,128.0
32,ASRock A620I LIGHTNING WIFI,4.5,159.99,AM5,Mini ITX,96 GB,2,Black,96.0
33,MSI PRO B550M-VC WIFI,4.5,145.99,AM4,Micro ATX,128 GB,4,Black,128.0
34,ASRock B650M PG Lightning Wifi,4.5,119.99,AM5,Micro ATX,256 GB,4,Silver / Black,256.0
35,MSI B550-A PRO,4.5,125.99,AM4,ATX,128 GB,4,Black / Silver,128.0
36,MSI MAG B850 TOMAHAWK MAX WIFI,5.0,230.84,AM5,ATX,256 GB,4,Black / Green,256.0
37,MSI PRO A620M-E,3.0,89.99,AM5,Micro ATX,96 GB,2,Black,96.0
38,Asus ROG STRIX B650E-F GAMING WIFI,4.5,209.99,AM5,ATX,192 GB,4,Black,192.0
39,Asus ROG CROSSHAIR X870E HERO,3.5,678.99,AM5,ATX,192 GB,4,Black,192.0
40,ASRock B650I Lightning Wifi,4.5,199.99,AM5,Mini ITX,96 GB,2,Black,96.0
41,MSI MAG X670E TOMAHAWK WIFI,4.5,234.99,AM5,ATX,192 GB,4,Black,192.0
42,Gigabyte B550M AORUS ELITE AX,4.5,129.99,AM4,Micro ATX,128 GB,4,Black / Silver,128.0
43,Gigabyte B850 AORUS ELITE WIFI7,3.0,228.99,AM5,ATX,256 GB,4,Black,256.0
44,Gigabyte X870E AORUS PRO ICE,4.5,354.99,AM5,ATX,256 GB,4,White,256.0
45,Asus ROG STRIX B650-A GAMING WIFI,4.5,203.59,AM5,ATX,192 GB,4,Black / Silver,192.0
46,Asus TUF GAMING B650-E WIFI,4.0,195.99,AM5,ATX,192 GB,4,Black / Orange,192.0
47,ASRock B650 Steel Legend WiFi,5.0,189.99,AM5,ATX,256 GB,4,White / Silver,256.0
48,Asus ROG STRIX B850-I GAMING WIFI,4.0,299.99,AM5,Mini ITX,96 GB,2,Black,96.0
49,ASRock B850M Pro-A WiFi,5.0,230.88,AM5,Micro ATX,256 GB,4,Black,256.0
50,Gigabyte Z790 AORUS ELITE AX,4.5,199.99,LGA1700,ATX,192 GB,4,Black,192.0
51,Asus TUF GAMING B850M-PLUS WIFI,5.0,189.99,AM5,Micro ATX,192 GB,4,Black,192.0
52,Asus ROG STRIX B760-I GAMING WIFI,4.5,179.99,LGA1700,Mini ITX,96 GB,2,Black,96.0
53,Asus ROG ZENITH II EXTREME ALPHA,4.5,1989.00,sTRX4,EATX,256 GB,8,Black / Silver,256.0
54,ASRock B850M-X,5.0,200.06,AM5,Micro ATX,128 GB,2,Black / White,128.0
55,Asus ROG STRIX Z790-A GAMING WIFI II,5.0,569.99,LGA1700,ATX,192 GB,4,Black / Silver,192.0
56,NZXT N7 Z790,4.0,119.99,LGA1700,ATX,192 GB,4,White / Black,192.0
57,MSI MAG X870E TOMAHAWK WIFI,4.0,309.99,AM5,ATX,256 GB,4,Black / Green,256.0
58,Asus TUF GAMING X870-PLUS WIFI,4.5,249.99,AM5,ATX,192 GB,4,Black,192.0
59,MSI PRO B760M-P DDR4,3.5,99.99,LGA1700,Micro ATX,128 GB,4,Black,128.0
60,Gigabyte X870I AORUS PRO ICE,4.5,299.99,AM5,Mini ITX,128 GB,2,White,128.0
61,Gigabyte A520I AC,4.5,119.99,AM4,Mini ITX,64 GB,2,Black,64.0
62,ASRock B850I Lightning WiFi,4.5,240.45,AM5,Mini ITX,128 GB,2,Black,128.0
63,Asus TUF GAMING B650M-E WIFI,4.0,139.99,AM5,Micro ATX,192 GB,4,Black,192.0
64,Gigabyte B650 AORUS ELITE AX,4.5,199.99,AM5,ATX,192 GB,4,Black / Silver,192.0
65,Asus TUF GAMING B550-PLUS WIFI II,4.0,149.99,AM4,ATX,128 GB,4,Black / Gray,128.0
66,MSI MPG X870E CARBON WIFI,3.5,597.79,AM5,ATX,256 GB,4,Black,256.0
67,ASRock X870 Pro RS,5.0,189.99,AM5,ATX,256 GB,4,White,256.0
68,Gigabyte Z790 EAGLE AX,4.5,174.99,LGA1700,ATX,192 GB,4,Gray / Black,192.0
69,MSI A520M-A PRO,4.0,80.14,AM4,Micro ATX,64 GB,2,Black,64.0
70,ASRock B450M/ac R2.0,4.5,Out of stock$74.99,AM4,Micro ATX,128 GB,4,Black / Silver,128.0
71,ASRock B760M-HDV/M.2,4.0,119.51,LGA1700,Micro ATX,96 GB,2,White / Black,96.0
72,Gigabyte B550 EAGLE WIFI6,3.0,119.99,AM4,ATX,128 GB,4,Black,128.0
73,MSI PRO B650M-A WIFI,4.0,156.99,AM5,Micro ATX,192 GB,4,Black,192.0
74,Asus ROG STRIX B850-A GAMING WIFI,5.0,259.99,AM5,ATX,192 GB,4,White,192.0
75,Asus TUF GAMING Z790-PLUS WIFI,4.5,186.97,LGA1700,ATX,192 GB,4,Black / Gray,192.0
76,MSI MPG B550 GAMING PLUS,4.5,170.99,AM4,ATX,128 GB,4,Black,128.0
77,ASRock X870 Pro RS WiFi,4.5,203.99,AM5,ATX,256 GB,4,White,256.0
78,MSI MEG X870E GODLIKE,,1282.72,AM5,EATX,256 GB,4,Black,256.0
79,ASRock B850M-X WiFi,5.0,Out of stock$124.99,AM5,Micro ATX,128 GB,2,Black / White,128.0
80,Asus Z790-AYW WIFI W,,149.99,LGA1700,ATX,192 GB,4,White,192.0
