,title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_gb
0,Samsung 990 Pro,4.5,169.99,2 TB,0.085,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1,Crucial P3 Plus,4.5,61.99,1 TB,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
2,Crucial P3 Plus,4.5,121.99,2 TB,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
3,Samsung 990 Pro,4.5,302.00,4 TB,0.075,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4,4000.0
4,Kingston NV3,4.5,62.99,1 TB,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
5,Samsung 990 Pro,4.5,99.99,1 TB,0.100,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1000.0
6,Western Digital WD_Black SN850X,4.5,147.94,2 TB,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
7,Samsung 990 EVO Plus,5.0,139.99,2 TB,0.070,SSD,,M.2-2280,M.2 PCIe 5.0 X2,2000.0
8,Kingston NV2,4.5,69.64,1 TB,0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
9,Western Digital Black SN770,4.5,70.86,1 TB,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
10,Seagate Barracuda Compute,4.5,69.98,2 TB,0.035,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,2000.0
11,Crucial P3 Plus,4.5,39.78,500 GB,0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
12,Western Digital Black SN770,4.5,124.99,2 TB,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
13,Silicon Power UD90,4.5,104.97,2 TB,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
14,Western Digital WD_Black SN850X,4.5,282.98,4 TB,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
15,Western Digital Blue SN580,4.5,59.99,1 TB,0.060,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
16,Samsung 870 Evo,4.5,89.99,1 TB,0.090,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s,1000.0
17,Intel SSDPEDMD020T401,,3937.00,2 TB,1.968,SSD,,PCIe,PCIe x4,2000.0
18,Samsung 9100 PRO,5.0,489.99,4 TB,0.122,SSD,4096 MB,M.2-2280,M.2 PCIe 5.0 X4,4000.0
19,Seagate IronWolf Pro,,439.99,24 TB,0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,24000.0
20,Western Digital WD_Black SN850X,4.5,94.99,1 TB,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
21,Samsung 990 EVO Plus,5.0,74.98,1 TB,0.075,SSD,,M.2-2280,M.2 PCIe 5.0 X2,1000.0
22,Samsung 990 EVO Plus,5.0,249.00,4 TB,0.062,SSD,,M.2-2280,M.2 PCIe 5.0 X2,4000.0
23,Samsung 970 Evo Plus,4.5,101.94,1 TB,0.102,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,1000.0
24,Sabrent Rocket 4 Plus,4.0,975.98,8 TB,0.122,SSD,,M.2-2280,M.2 PCIe 4.0 X4,8000.0
25,Kingston NV3,4.5,117.99,2 TB,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
26,Klevv CRAS C910,4.5,56.99,1 TB,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
27,Western Digital WD_Black SN850X,5.0,599.95,8 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,8000.0
28,Samsung 980 Pro,4.5,203.00,2 TB,0.102,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2000.0
29,Seagate BarraCuda,4.5,84.99,4 TB,0.021,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,4000.0
30,Crucial P3,4.5,59.99,1 TB,0.060,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
31,TEAMGROUP MP44L,4.5,57.99,1 TB,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
32,Crucial P3 Plus,4.5,219.99,4 TB,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
33,Western Digital Blue SN580,4.5,109.99,2 TB,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
34,Western Digital Caviar Blue,4.5,41.00,1 TB,0.041,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,1000.0
35,Samsung 9100 PRO,,269.99,2 TB,0.135,SSD,2048 MB,M.2-2280,M.2 PCIe 5.0 X4,2000.0
36,Patriot P300,4.5,32.99,512 GB,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
37,Samsung 870 Evo,4.5,162.00,2 TB,0.081,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s,2000.0
38,Samsung 870 Evo,4.5,269.99,4 TB,0.067,SSD,4096 MB,"2.5""",SATA 6.0 Gb/s,4000.0
39,TEAMGROUP MP33,4.5,56.99,1 TB,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
