title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 990 Pro,4.5,$169.99,2 TB,$0.085,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,4.5,$61.99,1 TB,$0.062,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,4.5,$121.99,2 TB,$0.061,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,4.5,$302.00,4 TB,$0.075,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV3,4.5,$62.99,1 TB,$0.063,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,4.5,$99.99,1 TB,$0.100,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,4.5,$147.94,2 TB,$0.074,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO Plus,5.0,$139.99,2 TB,$0.070,SSD,None,M.2-2280,M.2 PCIe 5.0 X2
Kingston NV2,4.5,$69.64,1 TB,$0.070,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,4.5,$70.86,1 TB,$0.071,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,4.5,$69.98,2 TB,$0.035,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Crucial P3 Plus,4.5,$39.78,500 GB,$0.080,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,4.5,$124.99,2 TB,$0.062,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,4.5,$104.97,2 TB,$0.052,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,4.5,$282.98,4 TB,$0.071,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,4.5,$59.99,1 TB,$0.060,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,4.5,$89.99,1 TB,$0.090,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s
Intel SSDPEDMD020T401,None,$3937.00,2 TB,$1.968,SSD,None,PCIe,PCIe x4
Samsung 9100 PRO,5.0,$489.99,4 TB,$0.122,SSD,4096 MB,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf Pro,None,$439.99,24 TB,$0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Western Digital WD_Black SN850X,4.5,$94.99,1 TB,$0.095,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO Plus,5.0,$74.98,1 TB,$0.075,SSD,None,M.2-2280,M.2 PCIe 5.0 X2
Samsung 990 EVO Plus,5.0,$249.00,4 TB,$0.062,SSD,None,M.2-2280,M.2 PCIe 5.0 X2
Samsung 970 Evo Plus,4.5,$101.94,1 TB,$0.102,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4 Plus,4.0,$975.98,8 TB,$0.122,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV3,4.5,$117.99,2 TB,$0.059,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Klevv CRAS C910,4.5,$56.99,1 TB,$0.057,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,5.0,$599.95,8 TB,$0.075,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,4.5,$203.00,2 TB,$0.102,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,4.5,$84.99,4 TB,$0.021,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Crucial P3,4.5,$59.99,1 TB,$0.060,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44L,4.5,$57.99,1 TB,$0.058,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,4.5,$219.99,4 TB,$0.055,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,4.5,$109.99,2 TB,$0.055,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,4.5,$41.00,1 TB,$0.041,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Samsung 9100 PRO,None,$269.99,2 TB,$0.135,SSD,2048 MB,M.2-2280,M.2 PCIe 5.0 X4
Patriot P300,4.5,$32.99,512 GB,$0.064,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 Evo,4.5,$162.00,2 TB,$0.081,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s
Samsung 870 Evo,4.5,$269.99,4 TB,$0.067,SSD,4096 MB,"2.5""",SATA 6.0 Gb/s
TEAMGROUP MP33,4.5,$56.99,1 TB,$0.057,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980 Pro,4.5,None,1 TB,None,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,4.5,$144.99,2 TB,$0.072,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO,4.5,$129.99,2 TB,$0.065,SSD,None,M.2-2280,M.2 PCIe 5.0 X2
TEAMGROUP MP44L,4.5,$107.99,2 TB,$0.054,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
SK Hynix Platinum P41,4.5,$134.99,2 TB,$0.067,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,4.5,$109.99,8 TB,$0.014,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
KingSpec XF,None,$53.99,1 TB,$0.054,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,4.5,$153.94,2.048 TB,$0.075,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO,5.0,$69.98,1 TB,$0.070,SSD,None,M.2-2280,M.2 PCIe 5.0 X2
Samsung 870 QVO,4.5,$629.99,8 TB,$0.079,SSD,None,"2.5""",SATA 6.0 Gb/s
Samsung 870 Evo,4.5,$52.99,500 GB,$0.106,SSD,512 MB,"2.5""",SATA 6.0 Gb/s
Corsair MP400,5.0,None,8 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Crucial T705,None,$389.99,4 TB,$0.097,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Acer Predator GM7000,4.5,$125.99,2 TB,$0.063,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,5.0,$129.99,2 TB,$0.065,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,4.5,None,500 GB,None,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A60,4.5,$55.97,1 TB,$0.056,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Crucial T705,5.0,$229.99,2 TB,$0.115,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Samsung 980,4.5,$106.30,1 TB,$0.106,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Samsung 9100 PRO,5.0,$169.99,1 TB,$0.170,SSD,1024 MB,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP MP33,4.5,$36.99,512 GB,$0.072,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Crucial T500,4.5,$148.94,2 TB,$0.074,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,4.5,$188.03,2 TB,$0.094,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,4.5,$59.50,1 TB,$0.060,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Kingston A400,4.5,$24.99,240 GB,$0.104,SSD,None,"2.5""",SATA 6.0 Gb/s
Silicon Power UD90,4.5,$61.97,1 TB,$0.062,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Gold,None,$499.99,24 TB,$0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Klevv CRAS C910,5.0,$105.99,2 TB,$0.053,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,5.0,$312.99,4 TB,$0.078,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,4.5,$64.98,2 TB,$0.032,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Crucial P310,None,$74.99,1 TB,$0.075,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,4.5,$23.79,256 GB,$0.093,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Crucial BX500,4.5,$61.74,1 TB,$0.062,SSD,None,"2.5""",SATA 6.0 Gb/s
Lexar NM790,5.0,$69.99,1 TB,$0.070,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700 Elite,5.0,$179.99,2 TB,$0.090,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Silicon Power A60,5.0,$99.97,2 TB,$0.050,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,4.5,$219.99,2 TB,$0.110,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Toshiba MK3276GSX,1.5,$32.02,320 GB,$0.100,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Seagate IronWolf NAS,5.0,$179.99,8 TB,$0.022,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,4.5,$179.99,2 TB,$0.090,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33 PRO,4.0,$63.99,1 TB,$0.064,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
