title,rating,price,cpu_socket,form_factor,max_memory,memory_slots,color
MSI B650 GAMING PLUS WIFI,4.5,$169.99,AM5,ATX,192 GB,4,Black
Asus PRIME B650-PLUS WIFI,5.0,$149.99,AM5,ATX,192 GB,4,Black / Silver
MSI MAG B650 TOMAHAWK WIFI,4.5,$199.62,AM5,ATX,256 GB,4,Black
Asus PRIME B550M-A WIFI II,4.0,$119.99,AM4,Micro ATX,128 GB,4,Blue / Silver
Gigabyte X870E AORUS ELITE WIFI7,4.0,$315.08,AM5,ATX,256 GB,4,Black
Gigabyte B650 EAGLE AX,4.5,$164.99,AM5,ATX,192 GB,4,Gray / Black
MSI MAG X870 TOMAHAWK WIFI,4.5,$299.99,AM5,ATX,256 GB,4,Black
Gigabyte A520M K V2,3.5,$79.00,AM4,Micro ATX,64 GB,2,Brown / Black
Gigabyte X870 EAGLE WIFI7,5.0,$229.99,AM5,ATX,256 GB,4,Black
MSI B760 GAMING PLUS WIFI,4.5,$173.32,LGA1700,ATX,192 GB,4,Black / Silver
MSI B550M PRO-VDH WIFI,4.5,$103.99,AM4,Micro ATX,128 GB,4,Black
Gigabyte X870 AORUS ELITE WIFI7 ICE,4.5,$289.99,AM5,ATX,256 GB,4,White
MSI PRO Z790-A MAX WIFI,4.5,$253.45,LGA1700,ATX,192 GB,4,Silver / Black
MSI PRO B650-S WIFI,4.5,$149.58,AM5,ATX,192 GB,4,Black
MSI B450M-A PRO MAX II,3.5,$78.77,AM4,Micro ATX,64 GB,2,Black
Asus ROG STRIX X870E-E GAMING WIFI,5.0,$468.13,AM5,ATX,192 GB,4,Black
MSI B550 GAMING GEN3,4.0,$152.72,AM4,ATX,128 GB,4,Black
Asus TUF GAMING B650-PLUS WIFI,4.0,$179.99,AM5,ATX,128 GB,4,Black
MSI MAG B550 TOMAHAWK MAX WIFI,4.5,$185.99,AM4,ATX,128 GB,4,Silver / Black
Gigabyte B850 EAGLE WIFI6E,5.0,$178.99,AM5,ATX,256 GB,4,Gray / Black
MSI PRO B650M-P,4.5,$148.97,AM5,Micro ATX,192 GB,4,Black / Silver
Gigabyte B650M GAMING PLUS WIFI,4.5,$139.99,AM5,Micro ATX,192 GB,4,Silver / Black
Gigabyte B650 GAMING X AX V2,4.0,$148.87,AM5,ATX,192 GB,4,Gray / Black
ASRock B650M Pro RS WiFi,4.5,$139.99,AM5,Micro ATX,256 GB,4,Black / Silver
Gigabyte B550M K,3.5,$89.99,AM4,Micro ATX,128 GB,4,Brown / Silver
ASRock B450M-HDV R4.0,3.5,$69.98,AM4,Micro ATX,64 GB,2,Black / White
Asus ROG STRIX B550-F GAMING WIFI II,4.5,$179.99,AM4,ATX,128 GB,4,Black / Red
Asus TUF GAMING B850-PLUS WIFI,4.5,$229.99,AM5,ATX,192 GB,4,Black / Silver
Asus ROG STRIX X870-A GAMING WIFI,5.0,$289.99,AM5,ATX,192 GB,4,White
Gigabyte B850 AORUS ELITE WIFI7 ICE,4.5,$228.99,AM5,ATX,256 GB,4,White / Silver
MSI PRO H610M-G DDR4,4.5,$89.99,LGA1700,Micro ATX,64 GB,2,Black / Silver
Gigabyte B760M GAMING PLUS WIFI DDR4,3.5,$139.99,LGA1700,Micro ATX,128 GB,4,Black / Silver
ASRock A620I LIGHTNING WIFI,4.5,$159.99,AM5,Mini ITX,96 GB,2,Black
MSI PRO B550M-VC WIFI,4.5,$145.99,AM4,Micro ATX,128 GB,4,Black
ASRock B650M PG Lightning Wifi,4.5,$119.99,AM5,Micro ATX,256 GB,4,Silver / Black
MSI B550-A PRO,4.5,$125.99,AM4,ATX,128 GB,4,Black / Silver
MSI MAG B850 TOMAHAWK MAX WIFI,5.0,$230.84,AM5,ATX,256 GB,4,Black / Green
MSI PRO A620M-E,3.0,$89.99,AM5,Micro ATX,96 GB,2,Black
Asus ROG STRIX B650E-F GAMING WIFI,4.5,$209.99,AM5,ATX,192 GB,4,Black
Asus ROG CROSSHAIR X870E HERO,3.5,$678.99,AM5,ATX,192 GB,4,Black
ASRock B650I Lightning Wifi,4.5,$199.99,AM5,Mini ITX,96 GB,2,Black
MSI MAG X670E TOMAHAWK WIFI,4.5,$234.99,AM5,ATX,192 GB,4,Black
Gigabyte B550M AORUS ELITE AX,4.5,$129.99,AM4,Micro ATX,128 GB,4,Black / Silver
Gigabyte B850 AORUS ELITE WIFI7,3.0,$228.99,AM5,ATX,256 GB,4,Black
Gigabyte X870E AORUS PRO ICE,4.5,$354.99,AM5,ATX,256 GB,4,White
Asus ROG STRIX B650-A GAMING WIFI,4.5,$203.59,AM5,ATX,192 GB,4,Black / Silver
Asus TUF GAMING B650-E WIFI,4.0,$195.99,AM5,ATX,192 GB,4,Black / Orange
ASRock B650 Steel Legend WiFi,5.0,$189.99,AM5,ATX,256 GB,4,White / Silver
Asus ROG STRIX B850-I GAMING WIFI,4.0,$299.99,AM5,Mini ITX,96 GB,2,Black
ASRock B850M Pro-A WiFi,5.0,$230.88,AM5,Micro ATX,256 GB,4,Black
Gigabyte Z790 AORUS ELITE AX,4.5,$199.99,LGA1700,ATX,192 GB,4,Black
Asus TUF GAMING B850M-PLUS WIFI,5.0,$189.99,AM5,Micro ATX,192 GB,4,Black
Asus ROG STRIX B760-I GAMING WIFI,4.5,$179.99,LGA1700,Mini ITX,96 GB,2,Black
Asus ROG ZENITH II EXTREME ALPHA,4.5,$1989.00,sTRX4,EATX,256 GB,8,Black / Silver
ASRock B850M-X,5.0,$200.06,AM5,Micro ATX,128 GB,2,Black / White
Asus ROG STRIX Z790-A GAMING WIFI II,5.0,$569.99,LGA1700,ATX,192 GB,4,Black / Silver
NZXT N7 Z790,4.0,$119.99,LGA1700,ATX,192 GB,4,White / Black
MSI MAG X870E TOMAHAWK WIFI,4.0,$309.99,AM5,ATX,256 GB,4,Black / Green
Asus TUF GAMING X870-PLUS WIFI,4.5,$249.99,AM5,ATX,192 GB,4,Black
MSI PRO B760M-P DDR4,3.5,$99.99,LGA1700,Micro ATX,128 GB,4,Black
Gigabyte X870I AORUS PRO ICE,4.5,$299.99,AM5,Mini ITX,128 GB,2,White
Gigabyte A520I AC,4.5,$119.99,AM4,Mini ITX,64 GB,2,Black
ASRock B850I Lightning WiFi,4.5,$240.45,AM5,Mini ITX,128 GB,2,Black
Asus TUF GAMING B650M-E WIFI,4.0,$139.99,AM5,Micro ATX,192 GB,4,Black
Gigabyte B650 AORUS ELITE AX,4.5,$199.99,AM5,ATX,192 GB,4,Black / Silver
Asus TUF GAMING B550-PLUS WIFI II,4.0,$149.99,AM4,ATX,128 GB,4,Black / Gray
