title,rating,price,fan_rpm,noise_level,color,radiator_size
Thermalright Peerless Assassin 120 SE,4.5,$34.90,1550 RPM,25.6 dB,Black / Silver,None
Cooler Master Hyper 212 Black Edition,4.5,$29.99,650 - 2000 RPM,6.5 - 26 dB,Black,None
ARCTIC Liquid Freezer III 360,4.5,$143.44,200 - 1800 RPM,None,Black,360 mm
Thermalright Phantom Spirit 120 SE ARGB,4.5,$37.90,1500 RPM,25.6 dB,Black / Silver,None
ARCTIC Liquid Freezer III 360 A-RGB,4.5,$149.99,200 - 2000 RPM,None,Black,360 mm
Noctua NH-D15 chromax.black,4.5,$139.94,300 - 1500 RPM,19.2 - 24.6 dB,Black,None
ARCTIC Liquid Freezer III 240,4.5,$139.99,200 - 1800 RPM,None,Black,240 mm
Thermalright Phantom Spirit 120 SE,4.5,$35.90,1500 RPM,25.6 dB,Black / Silver,None
Thermalright Aqua Elite V3,4.5,$54.90,1500 RPM,25.6 dB,Black,360 mm
NZXT Kraken Elite 360 RGB,4.5,Out of stock$299.99,500 - 1800 RPM,17.9 - 30.6 dB,White,360 mm
NZXT Kraken Elite 360 RGB,4.5,$434.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,360 mm
Thermalright Assassin X 120 Refined SE,4.5,$17.89,1550 RPM,25.6 dB,Black / Silver,None
ARCTIC Liquid Freezer III 360 A-RGB,4.5,$153.99,200 - 2000 RPM,None,White,360 mm
Cooler Master MasterLiquid 360L Core ARGB,4.5,$99.99,350 - 1750 RPM,27.2 dB,Black,360 mm
NZXT Kraken 360,4.5,$179.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,360 mm
Thermalright Phantom Spirit EVO,4.5,$49.90,2150 RPM,27 dB,Black,None
Corsair iCUE H150i ELITE CAPELLIX XT,4.0,$274.20,550 - 2100 RPM,5 - 34.1 dB,Black,360 mm
Corsair NAUTILUS 360 RS ARGB,5.0,$129.99,2100 RPM,34 dB,Black,360 mm
NZXT Kraken 240,4.0,$139.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,240 mm
AMD Wraith Prism,3.5,$61.58,2800 RPM,42 dB,None,None
be quiet! Dark Rock Pro 5,4.5,$104.90,1300 - 2000 RPM,8.9 - 23.3 dB,Black,None
Asus ROG STRIX LC 360 RGB GUNDAM,None,$1621.00,800 - 2500 RPM,37.6 dB,White,360 mm
ID-COOLING SE-214-XT ARGB,4.5,$17.98,500 - 1500 RPM,13.8 - 30.5 dB,Black,None
Thermalright Peerless Assassin 120 SE ARGB,4.5,$36.90,1550 RPM,25.6 dB,Black,None
Noctua NH-D15,4.5,$129.94,300 - 1500 RPM,19.2 - 24.6 dB,None,None
Thermalright Aqua Elite V3,5.0,$44.90,1500 RPM,25.6 dB,Black,240 mm
Thermalright Frozen Notte ARGB,4.0,$58.90,2000 RPM,27.7 dB,White,360 mm
ARCTIC Liquid Freezer III Pro 360,None,$86.79,600 - 3000 RPM,None,Black,360 mm
ARCTIC Freezer 36,5.0,$45.41,200 - 1800 RPM,None,Black,None
NZXT Kraken 360 RGB,4.0,$219.99,500 - 1800 RPM,17.9 - 30.6 dB,White,360 mm
Thermalright Assassin King SE ARGB,4.5,$19.09,1550 RPM,25.6 dB,White,None
Corsair iCUE H150i ELITE LCD XT,4.5,$249.17,550 - 2100 RPM,5 - 34.1 dB,Black,360 mm
Noctua NH-L9x65 chromax.black,5.0,$79.95,600 - 2500 RPM,14.8 - 23.6 dB,Black,None
Lian Li Galahad II Trinity SL-INF,4.5,$189.99,2100 RPM,29 dB,Black,360 mm
Cooler Master MasterLiquid 240L Core ARGB,4.5,$90.14,350 - 1750 RPM,27.2 dB,Black,240 mm
Corsair iCUE H100i ELITE CAPELLIX XT,4.5,$119.99,550 - 2100 RPM,5 - 34.1 dB,White,240 mm
Thermalright Frozen Notte ARGB,4.5,$62.90,2000 RPM,27.7 dB,Black,360 mm
Thermalright Peerless Assassin 120 SE WHITE ARGB,4.5,$43.90,1550 RPM,25.6 dB,White,None
Corsair iCUE LINK TITAN 360 RX LCD,4.0,$219.99,300 - 2100 RPM,10 - 36 dB,Black,360 mm
Thermalright Peerless Assassin 120 Black,5.0,None,1550 RPM,25.6 dB,Black,None
Asus ROG Ryujin III 360 ARGB Extreme,None,$444.99,1 - 2800 RPM,36 dB,Black,360 mm
Cooler Master Hyper 212 (2023),4.0,$29.99,690 - 2500 RPM,32.8 dB,Black,None
Corsair iCUE LINK TITAN 360 RX RGB,4.5,$199.95,300 - 2100 RPM,None,Black,360 mm
ID-COOLING SE-903-XT,5.0,$14.99,500 - 2200 RPM,25.8 dB,Black,None
Corsair NAUTILUS 360 RS ARGB,5.0,$129.99,2100 RPM,34 dB,White,360 mm
Thermalright Assassin Spirit 120 EVO,4.5,None,2000 RPM,28.2 dB,Black,None
Noctua NH-L9A-AM5 CHROMAX.BLACK,3.0,$59.95,600 - 2500 RPM,14.8 - 23.6 dB,Black,None
NZXT Kraken 360 RGB,4.5,$214.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,360 mm
ARCTIC Liquid Freezer III 280,4.0,$86.23,200 - 1700 RPM,None,Black,280 mm
Corsair NAUTILUS 240 RS ARGB,3.5,$99.00,2100 RPM,34 dB,Black,240 mm
Lian Li Galahad II Trinity SL-INF,4.5,$199.99,2100 RPM,29 dB,White,360 mm
ARCTIC Liquid Freezer III 420,4.5,Out of stock$139.99,200 - 1700 RPM,None,Black,420 mm
ID-COOLING FROZN A620 PRO SE,4.5,$29.99,300 - 2000 RPM,27.2 dB,Black,None
Noctua NH-U12S chromax.black,4.5,$99.95,300 - 1500 RPM,18.6 - 22.4 dB,Black,None
ARCTIC Liquid Freezer III Pro A-RGB 360,5.0,$101.69,600 - 3000 RPM,None,Black,360 mm
ARCTIC Liquid Freezer III 240 A-RGB,4.5,$87.77,200 - 2000 RPM,None,Black,240 mm
NZXT Kraken Elite 360 RGB (2024),4.5,$319.50,500 - 2400 RPM,30 dB,White,360 mm
Deepcool AK620 ZERO DARK,4.5,None,500 - 1850 RPM,28 dB,Black,None
Noctua NH-L9A-AM5,4.5,$49.95,600 - 2500 RPM,14.8 - 23.6 dB,Brown / Silver,None
Thermalright Assassin X SE,4.0,$16.89,2200 RPM,23.85 dB,Black / Silver,None
Noctua NH-U12A chromax.black,4.5,$139.94,450 - 2000 RPM,18.8 - 22.6 dB,Black,None
Thermalright Aqua Elite V3,4.0,$54.59,1500 RPM,25.6 dB,White,360 mm
ID-COOLING SE-214-XT ARGB,4.5,$18.98,500 - 1500 RPM,13.8 - 30.5 dB,White,None
TRYX PANORAMA SE ARGB,None,$279.99,500 - 1850 RPM,None,Black,360 mm
Deepcool AK400,4.5,None,500 - 1850 RPM,29 dB,Black / Silver,None
Corsair iCUE H150i ELITE CAPELLIX XT,4.0,$205.08,550 - 2100 RPM,None,White,360 mm
NZXT Kraken 240 RGB,3.5,$139.99,500 - 1800 RPM,17.9 - 30.6 dB,White,240 mm
be quiet! Pure Rock 2 Black,4.5,$105.99,1500 RPM,19.1 - 26.8 dB,Black,None
Noctua NH-D9L,4.5,$84.95,400 - 2000 RPM,16.3 - 22.8 dB,None,None
Cooler Master Hyper 212 Spectrum V3,4.0,$17.50,650 - 1750 RPM,27.2 dB,Black / Silver,None
ID-COOLING FX360 PRO,5.0,$64.98,500 - 1800 RPM,35.2 dB,Black,360 mm
Noctua NH-D15 G2,4.0,$179.95,1500 RPM,24.8 dB,Brown / Silver,None
NZXT Kraken Elite 360 (2024),4.0,$269.99,500 - 2000 RPM,30 dB,Black,360 mm
Thermalright AQUA ELITE ARGB V4,4.5,$53.90,1550 RPM,25.6 dB,Black,360 mm
Intel E97379-001,3.5,$18.97,1200 - 2800 RPM,22 dB,Silver / Black,None
Cooler Master Hyper 212 RGB Black Edition,4.5,$26.99,650 - 2000 RPM,8 - 30 dB,Black,None
ARCTIC Alpine 23,5.0,$11.98,100 - 2000 RPM,None,White / Black,None
Noctua NH-L12S,4.5,$74.95,450 - 1850 RPM,16.8 - 23.9 dB,None,None
be quiet! Silent Loop 3,5.0,None,2500 RPM,19.8 - 38.8 dB,Black,360 mm
ID-COOLING FROZN A410 BLACK,5.0,$29.99,500 - 2000 RPM,29.85 dB,Black,None
Corsair iCUE H170i ELITE LCD XT,4.5,$310.00,500 - 1700 RPM,5 - 33.8 dB,Black,420 mm
be quiet! Pure Rock Slim 2,4.0,Out of stock$31.99,None,13.1 - 25.4 dB,Black / Silver,None
Thermalright Frozen Notte ARGB,4.5,$48.90,2000 RPM,27.7 dB,White,240 mm
Noctua NH-D15S chromax.black,4.5,$129.94,300 - 1500 RPM,19.2 - 24.6 dB,Black,None
Lian Li Galahad II LCD SL-INF,4.0,$274.99,None,29 dB,White,360 mm
Thermalright Peerless Assassin 120 White,4.5,$44.79,1550 RPM,25.6 dB,White,None
Thermalright Frozen Infinity 360 ARGB,5.0,$59.90,2000 RPM,28.2 dB,Black,360 mm
Vetroo V5,4.5,$29.99,800 - 1700 RPM,30.8 dB,Black,None
Corsair NAUTILUS 360 RS,None,$109.99,2100 RPM,34 dB,Black,360 mm
be quiet! Dark Rock Pro 4,4.5,$165.00,1500 RPM,12.8 - 24.3 dB,Black,None
Thermalright Assassin X Refined SE ARGB,5.0,None,1550 RPM,25.6 dB,Black / Silver,None
ARCTIC Liquid Freezer III 420 A-RGB,4.5,$159.99,200 - 1900 RPM,None,Black,420 mm
Corsair iCUE LINK TITAN 360 RX LCD,4.0,$219.99,300 - 2100 RPM,10 - 36 dB,White,360 mm
TRYX PANORAMA SE ARGB,4.0,$279.99,500 - 1850 RPM,None,White,360 mm
Corsair iCUE H100i RGB ELITE,4.5,$202.48,400 - 1850 RPM,5 - 28.9 dB,Black,240 mm
NZXT Kraken 240 RGB,4.5,$139.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,240 mm
Corsair iCUE LINK TITAN 360 RX RGB,4.5,$199.99,300 - 2100 RPM,None,White,360 mm
Thermalright Peerless Assassin 120 SE V3,5.0,$34.90,2000 RPM,29.8 dB,Black / Silver,None
Cooler Master MASTERLIQUID ML240L RGB V2,4.0,$89.59,650 - 1800 RPM,6 - 27 dB,Black,240 mm
NZXT Kraken Elite 360 RGB (2024),4.0,$319.50,500 - 2400 RPM,30 dB,Black,360 mm
Montech HyperFlow ARGB 360,4.5,$99.90,2200 RPM,29.1 dB,Black,360 mm
Thermalright Burst Assassin 120 SE ARGB,4.0,$23.39,1550 RPM,25.6 dB,Black / Silver,None
Deepcool GAMMAXX AG400 ARGB,4.5,None,500 - 2000 RPM,31.6 dB,Black,None
be quiet! Dark Rock 5,5.0,$74.90,2100 RPM,11.9 - 29.8 dB,Black,None
Thermalright Peerless Assassin 140,5.0,$47.90,1500 RPM,25.6 dB,White,None
Lian Li HydroShift LCD 360TL RGB,4.5,None,200 - 2600 RPM,33 dB,Black,360 mm
Cooler Master MasterLiquid 360L Core ARGB,4.5,$83.99,350 - 1750 RPM,27.2 dB,White,360 mm
Lian Li Galahad II LCD SL-INF,4.5,Out of stock$269.99,None,29 dB,Black,360 mm
Thermalright Aqua Elite V3,4.5,$44.90,1500 RPM,25.6 dB,White,240 mm
Asus ROG Ryujin III ARGB Extreme,None,$381.73,1 - 2800 RPM,36 dB,White,360 mm
Thermalright AXP90-X47,5.0,$21.90,2700 RPM,22.4 dB,Gray,None
Thermalright Assassin X Refined SE RGB,4.5,$18.89,1550 RPM,25.6 dB,Black / Silver,None
Lian Li HydroShift LCD 360R RGB,4.5,$219.99,300 - 2400 RPM,30 dB,Black,360 mm
Thermalright Frozen Prism ARGB,4.5,$56.90,1850 RPM,27 dB,Black,360 mm
ARCTIC Liquid Freezer III Pro A-RGB 360,5.0,$107.59,600 - 3000 RPM,None,White,360 mm
Thermalright Assassin X Refined SE PLUS,4.5,$19.79,1550 RPM,25.6 dB,Black / Silver,None
Corsair NAUTILUS 240 RS,4.0,$89.99,2100 RPM,34 dB,Black,240 mm
EK EK-Nucleus AIO CR360 Lux D-RGB,4.5,$163.99,550 - 2300 RPM,36 dB,Black,360 mm
Thermalright Frozen Notte ARGB,4.0,$49.90,2000 RPM,27.7 dB,Black,240 mm
Asus ROG RYUJIN II ARGB,4.0,None,None,None,Black,360 mm
Cooler Master Hyper 212 Halo,4.5,$33.10,650 - 2050 RPM,27 dB,Black,None
Noctua NH-U12S redux,4.5,$59.95,450 - 1700 RPM,25.1 dB,Gray / Silver,None
ARCTIC Freezer 36 A-RGB,4.5,$58.99,200 - 2000 RPM,None,Black,None
Iceberg Thermal IceFLOE T95,None,$12.99,1000 - 2200 RPM,32.3 dB,Teal / Silver,None
Noctua NH-L9a-AM4,4.5,$49.95,600 - 2500 RPM,14.8 - 23.6 dB,Brown,None
Lian Li Hydroshift LCD 360S,5.0,$179.99,200 - 2500 RPM,29.8 dB,Black,360 mm
Deepcool LE720,4.0,None,500 - 2250 RPM,32.9 dB,Black,360 mm
Thermalright Assassin X Refined SE RGB V2,3.5,$18.69,1550 RPM,25.6 dB,Black / Silver,None
Thermalright Frozen Warframe ARGB,4.0,$81.09,2000 RPM,22.1 dB,Black,360 mm
Corsair iCUE LINK H150i LCD,4.5,None,480 - 2400 RPM,None,White,360 mm
Noctua NH-U9S chromax.black,4.5,$74.95,400 - 2000 RPM,16.3 - 22.8 dB,Black,None
ID-COOLING IS-55 Black,4.5,$39.99,500 - 2000 RPM,31.2 dB,Black,None
Thermalright AXP90-X47,4.5,None,2700 RPM,22.4 dB,Orange / Brown,None
be quiet! Pure Rock 2,4.5,$42.64,1500 RPM,19.1 - 26.8 dB,Silver / Black,None
Corsair iCUE H150i ELITE CAPELLIX,4.5,None,2400 RPM,10 - 37 dB,Black,360 mm
Noctua NH-U12A,4.5,$129.90,450 - 2000 RPM,18.8 - 22.6 dB,Brown,None
Thermalright AXP90-X47,4.0,$22.39,2700 RPM,22.4 dB,Black,None
Noctua NH-D15 G2 LBC,4.5,$179.95,1500 RPM,24.8 dB,Brown / Silver,None
Cooler Master Hyper 212 EVO,4.5,$79.98,600 - 2000 RPM,9 - 36 dB,None,None
ID-COOLING FX240 PRO,4.5,$54.99,500 - 1800 RPM,35.2 dB,Black,240 mm
Corsair iCUE LINK H100i RGB,3.0,$149.97,480 - 2400 RPM,None,Black,240 mm
Thermalright Frozen Infinity 360 ARGB,4.5,$52.59,2000 RPM,28.2 dB,White,360 mm
be quiet! Pure Rock 3,None,$50.00,2000 RPM,12.4 - 31.2 dB,Black,None
Gigabyte AORUS WATERFORCE II 360 ICE,5.0,$129.99,800 - 2300 RPM,12.8 - 36.9 dB,White,360 mm
MSI MAG CORELIQUID A13,None,$99.99,None,None,Black,360 mm
Thermalright Assassin X 120 R Digital ARGB,None,$24.90,2000 RPM,29.8 dB,Black,None
Thermalright AQUA ELITE ARGB V4,None,$52.19,1550 RPM,25.6 dB,White,360 mm
Deepcool AK620 DIGITAL,4.5,None,500 - 1850 RPM,28 dB,Black,None
ARCTIC Liquid Freezer III 240 A-RGB,4.0,$91.99,200 - 2000 RPM,None,White,240 mm
Thermalright Assassin X 120 PLUS V2,4.0,None,1500 RPM,25.6 dB,Black / Silver,None
NZXT Kraken 120,5.0,$89.99,500 - 2000 RPM,21 - 36 dB,Black,120 mm
Thermalright Phantom Spirit,4.5,$37.90,1500 RPM,25.6 dB,Black / Silver,None
Asus ProArt LC 420,4.5,$292.49,800 - 2000 RPM,31.5 dB,Black,420 mm
ARCTIC Liquid Freezer III 280 A-RGB,4.5,$98.55,200 - 1900 RPM,None,Black,280 mm
Thermalright Aqua Elite V3,5.0,$34.90,1500 RPM,25.6 dB,Black,120 mm
Thermalright Assassin Spirit 120 EVO WHITE ARGB,4.5,$22.90,1850 RPM,27 dB,White,None
TRYX PANORAMA ARGB,5.0,None,500 - 1850 RPM,27.86 dB,White,360 mm
StarTech FAN775E,None,$14.99,2600 RPM,22.2 dB,None,None
Thermalright Frozen Prism ARGB,4.5,$52.39,1850 RPM,27 dB,White,360 mm
Asus ROG Ryujin III,3.5,$289.99,450 - 2000 RPM,29.7 dB,Black,360 mm
be quiet! Pure Rock Pro 3,None,$63.84,2000 RPM,14 - 34.8 dB,Black,None
Thermalright Assassin X 120 R Digital ARGB,5.0,$24.90,2000 RPM,29.8 dB,White,None
Thermalright Assassin Spirit 120 EVO DARK,5.0,None,1850 RPM,27 dB,Black,None
Lian Li Hydroshift LCD 360S,4.5,$179.99,200 - 2500 RPM,29.8 dB,White,360 mm
NZXT Kraken 280,4.0,$139.99,500 - 1500 RPM,19.4 - 32.1 dB,Black,280 mm
MSI MAG CORELIQUID 240R V2,4.0,$109.99,500 - 2000 RPM,14.3 - 34.3 dB,Black,240 mm
Thermalright Phantom Spirit SE,5.0,$42.39,1500 RPM,25.6 dB,Black,None
Deepcool AK400 DIGITAL,4.5,None,500 - 1850 RPM,28 dB,Black,None
ARCTIC Liquid Freezer III 420 A-RGB,4.5,$173.53,200 - 1900 RPM,None,White,420 mm
ID-COOLING FROZN A720 BLACK,5.0,$69.98,500 - 2000 RPM,33.5 dB,Black,None
Thermalright AXP90-X53 FULL,4.5,$42.90,2700 RPM,22.4 dB,Copper / Orange,None
Deepcool MYSTIQUE 360,4.0,None,500 - 2150 RPM,36.49 dB,Black,360 mm
NZXT T120 RGB,4.0,$34.99,500 - 1800 RPM,17.2 - 27.5 dB,White,None
Noctua NH-L9i,4.5,$49.95,600 - 2500 RPM,14.8 - 23.6 dB,Brown,None
Noctua NH-L9i chromax.black,4.5,$70.69,600 - 2500 RPM,14.8 - 23.6 dB,Black,None
Noctua NH-L9i-17xx chromax.black,4.0,$59.95,600 - 2500 RPM,14.8 - 23.6 dB,Black,None
Thermalright Assassin X 90 SE ARGB,5.0,$18.98,2200 RPM,23.85 dB,Black / Silver,None
Thermalright Peerless Assassin MINI,4.0,$44.90,1500 RPM,25.6 dB,Black,None
NZXT Kraken X63,4.5,Out of stock$129.98,500 - 2000 RPM,21 - 38 dB,Black,280 mm
ARCTIC Freezer 36,4.5,$45.99,200 - 1800 RPM,None,Black / Silver,None
Corsair iCUE LINK H115i RGB,4.0,$169.99,400 - 2000 RPM,None,Black,280 mm
Thermalright Peerless Assassin 120 SE,4.5,$40.90,1550 RPM,25.6 dB,Black,None
Vetroo V240,4.0,$54.99,800 - 1800 RPM,30.8 dB,Black,240 mm
Thermalright Grand Vision ARGB,4.5,None,2150 RPM,29.4 dB,Black,360 mm
Deepcool AK620,4.5,None,500 - 1850 RPM,28 dB,Black / Silver,None
ARCTIC Freezer 7 X,4.5,$25.99,300 - 2000 RPM,22.5 dB,Black / White,None
ID-COOLING FROZN A620 BLACK,None,$39.99,500 - 2000 RPM,29.85 dB,Black,None
ID-COOLING FROZN A410 SE,5.0,$24.99,300 - 1800 RPM,24.8 dB,Black,None
Deepcool ASSASSIN IV,4.5,None,500 - 1700 RPM,22.6 - 29.3 dB,Black,None
Deepcool LT720,4.5,None,500 - 2250 RPM,32.9 dB,Black / Gray,360 mm
Noctua NH-U9S,4.5,$69.95,400 - 2000 RPM,16.3 - 22.8 dB,None,None
Thermalright Frozen Infinity 240 ARGB,4.0,$47.90,2000 RPM,28.2 dB,Black,240 mm
ARCTIC Freezer 36 A-RGB,5.0,$59.99,200 - 2000 RPM,None,White,None
Deepcool AG400,4.5,None,500 - 2000 RPM,31.6 dB,Black / Silver,None
Thermalright Frozen Warframe ARGB,None,$81.09,2000 RPM,22.1 dB,White,360 mm
Thermalright Assassin X Refined SE,5.0,$18.89,1550 RPM,25.6 dB,White / Silver,None
Thermaltake Gravity i2,4.5,$12.78,1800 RPM,21.3 dB,None,None
Thermalright AXP120-X67,4.5,$31.59,1800 RPM,26.1 dB,Black,None
Thermaltake TH360 V2 ARGB Sync,None,$119.99,500 - 2000 RPM,25.8 dB,Black,360 mm
Asus TUF Gaming LC II ARGB,4.0,$258.54,800 - 2000 RPM,29 dB,Black,360 mm
Noctua NH-D12L CHROMAX.BLACK,5.0,$109.95,450 - 2000 RPM,18.8 - 22.6 dB,Black,None
Corsair iCUE LINK H170i LCD,4.0,$368.00,400 - 2000 RPM,None,Black,420 mm
ID-COOLING FROSTFLOW X,4.5,$54.99,700 - 1800 RPM,18 - 35.2 dB,None,240 mm
be quiet! Light Loop,4.5,$164.50,1500 - 2900 RPM,17.2 - 36.8 dB,Black,360 mm
Cooler Master Hyper 212 Halo,4.5,$33.99,650 - 2050 RPM,27 dB,White,None
